objid,ra,dec,z,zErr,psfMag_g,psfMag_r,psfMagErr_g,psfMagErr_r
1237657878612672935,116.35663,23.989671,0.043425,1.601959E-5,18.928856,18.035637,0.017099,0.011599
1237657627893039649,116.55585,23.812915,0.167844,3.558067E-5,20.14373,19.051466,0.025291,0.013698
1237657878612672845,116.37327,23.901315,0.099375,7.407903E-6,19.986565,19.494108,0.021157,0.017015
1237657878612672834,116.4156,23.852404,0.129734,2.607875E-5,19.425694,18.323727,0.018313,0.012021
1237657628429649245,115.79291,23.616819,0.413215,1.122252E-4,22.019587,20.398809,0.072132,0.026264
1237657878612410902,115.885,23.569317,0.094016,1.403884E-5,20.064226,19.388788,0.176922,0.19983
1237657627892646395,115.76575,23.167461,0.101669,6.577076E-6,19.896666,19.448858,0.020522,0.015664
1237657878612345347,115.8264,23.320857,0.14492,8.103223E-6,19.711781,19.193838,0.020444,0.017214
1237657878612345546,115.72057,23.368294,0.167064,1.25601E-5,20.369299,19.78911,0.025257,0.02052
1237657878612541974,116.20203,23.653592,0.336218,8.295114E-5,21.698254,19.89699,0.055909,0.021475
1237657878612542001,116.22388,23.738625,0.414366,8.665147E-5,21.695356,20.076981,0.055132,0.024416
1237657878612410933,115.99513,23.492517,0.151152,7.927556E-6,19.430492,19.046824,0.018131,0.014593
1237657878612541830,116.21578,23.69083,0.065597,6.669939E-6,19.113043,18.694181,0.016015,0.014321
1237657878612410888,115.95404,23.499347,0.104526,1.676042E-5,20.147261,19.298965,0.022366,0.015676
1237657878612541864,116.21548,23.715112,0.065315,1.012586E-5,20.355389,19.804974,0.023392,0.021193
1237657627892777641,115.95999,23.351284,0.334508,6.827332E-5,21.491001,19.746475,0.057814,0.020099
1237657878075474557,116.12172,23.173196,0.097611,2.770148E-5,19.514862,18.654642,0.018241,0.016123
1237657627892843022,116.14805,23.466376,0.15394,1.995973E-5,19.995186,19.076372,0.021069,0.015656
1237657878075539899,116.16755,23.217841,0.097277,7.324064E-6,19.177515,18.862139,0.014255,0.015372
1237657878075474574,116.13195,23.191232,0.097348,7.439735E-6,19.427427,18.830021,0.019143,0.017219
1237657878612541815,116.23315,23.656548,0.098751,2.399018E-5,19.4695,18.510641,0.017325,0.013935
1237657627892973963,116.28864,23.678067,0.102769,1.408432E-5,20.129337,19.356905,0.023248,0.015716
1237657874317443359,116.35204,23.503524,0.0968,2.406148E-5,19.091145,18.144854,0.022197,0.0191
1237660344997708072,117.05792,23.556082,0.166834,1.832488E-5,19.814447,18.990543,0.019101,0.016966
1237657877539062134,117.12683,23.565238,0.096724,6.84421E-6,19.995094,19.232258,0.019169,0.016817
1237660344997707857,117.08836,23.589908,0.096838,1.204132E-5,20.580902,19.861803,0.029211,0.024244
1237657877538931362,117.06556,23.391606,0.122427,2.764561E-5,20.151114,19.141323,0.339754,0.216569
1237660344997642761,117.00194,23.554592,0.083625,9.87199E-6,19.869778,19.296165,0.020198,0.021788
1237660344997708265,116.99168,23.609143,0.155223,9.080952E-6,20.362131,19.592529,0.02448,0.021083
1237657877538931258,117.06752,23.296189,0.190033,1.213195E-5,19.733393,19.309128,0.017755,0.016874
1237657877538931658,116.9621,23.301667,0.444052,1.436542E-4,22.699917,20.911469,0.167703,0.060054
1237657877538931390,117.07067,23.229777,0.299284,7.796618E-5,21.396206,19.61867,0.05462,0.02674
1237657878076064676,117.16134,23.971289,0.461455,1.219138E-4,23.068316,20.965977,0.217242,0.048933
1237664835390341456,129.38238,22.632127,0.296106,7.301408E-5,21.324255,19.588778,0.11071,0.05772
1237664835390342005,129.36562,22.624574,0.574523,1.841458E-5,22.077993,20.591352,0.072824,0.030796
1237664835390341150,129.34148,22.546781,0.158467,1.363873E-5,20.039165,19.285152,0.024869,0.016763
1237664835390341440,129.41443,22.536558,0.550768,6.026168E-5,20.060877,19.560516,0.024707,0.018289
1237664835390275879,129.31428,22.428554,0.141176,2.676438E-5,20.3015,19.253736,0.027708,0.022159
1237664835390341353,129.35892,22.459273,0.222123,4.742817E-5,20.169474,18.743874,0.025445,0.014389
